Utterance,Expected,Predicted,Syntax_OK,Region_OK,Full_OK
"If you visit road_car1, then you must also reach road_car2",(RespondedExistence road_car1 road_car2),(RespondedExistence road_car1 road_car2),1,1,1
Visiting road_car1 implies eventually visiting road_car2,(RespondedExistence road_car1 road_car2),(Response road_car1 road_car2),1,1,0
"Whenever road_car1 happens, road_car2 must also occur",(RespondedExistence road_car1 road_car2),(RespondedExistence road_car1 road_car2),1,1,1
Stay in road_car1 until reaching road_car2,(Until road_car1 road_car2),(Until road_car1 road_car2),1,1,1
road_car1 must hold true until road_car2 occurs,(Until road_car1 road_car2),(Until road_car1 road_car2),1,1,1
Remain in road_car1 and stop only when road_car2 happens,(Until road_car1 road_car2),(Until road_car1 road_car2),1,1,1
Visit road_car1 or road_car2,(Or road_car1 road_car2),(Or road_car1 road_car2),1,1,1
Either road_car1 or road_car2 must be reached,(Or road_car1 road_car2),(Or road_car1 road_car2),1,1,1
At least one of road_car1 or road_car2 must occur,(Or road_car1 road_car2),(Or road_car1 road_car2),1,1,1
Visit road_car1 and road_car2,(And road_car1 road_car2),(And road_car1 road_car2),1,1,1
Both road_car1 and road_car2 must be reached,(And road_car1 road_car2),(And road_car1 road_car2),1,1,1
You must eventually visit both road_car1 and road_car2,(And road_car1 road_car2),ERROR,1,0,0
"Stay in road_car1 unless road_car2 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 road_car2),(WeakUntil road_car1 road_car2),1,1,1
"road_car1 must hold until road_car2, or forever if road_car2 never occurs",(WeakUntil road_car1 road_car2),(WeakUntil road_car1 road_car2),1,1,1
"Continue in road_car1 until road_car2 happens, or stay in road_car1 always if road_car2 never does",(WeakUntil road_car1 road_car2),(WeakUntil road_car1 road_car2),1,1,1
Visit road_car1 before related_conflict_car2,(Precedence road_car1 related_conflict_car2),(Precedence road_car1 related_conflict_car2),1,1,1
related_conflict_car2 can only occur after road_car1,(Precedence road_car1 related_conflict_car2),(Precedence road_car1 related_conflict_car2),1,1,1
"You must reach road_car1 first, then related_conflict_car2",(Precedence road_car1 related_conflict_car2),(Precedence road_car1 related_conflict_car2),1,1,1
related_conflict_car2 only after road_car1,(Response road_car1 related_conflict_car2),(Response road_car1 related_conflict_car2),1,1,1
"After visiting road_car1, eventually reach related_conflict_car2",(Response road_car1 related_conflict_car2),(Response road_car1 related_conflict_car2),1,1,1
"If road_car1 happens, related_conflict_car2 must follow",(Response road_car1 related_conflict_car2),(Response road_car1 related_conflict_car2),1,1,1
"If you visit road_car1, then you must also reach related_conflict_car2",(RespondedExistence road_car1 related_conflict_car2),(RespondedExistence road_car1 related_conflict_car2),1,1,1
Visiting road_car1 implies eventually visiting related_conflict_car2,(RespondedExistence road_car1 related_conflict_car2),(Response road_car1 related_conflict_car2),1,1,0
"Whenever road_car1 happens, related_conflict_car2 must also occur",(RespondedExistence road_car1 related_conflict_car2),(RespondedExistence road_car1 related_conflict_car2),1,1,1
Stay in road_car1 until reaching related_conflict_car2,(Until road_car1 related_conflict_car2),(Until road_car1 related_conflict_car2),1,1,1
road_car1 must hold true until related_conflict_car2 occurs,(Until road_car1 related_conflict_car2),(Until road_car1 related_conflict_car2),1,1,1
Remain in road_car1 and stop only when related_conflict_car2 happens,(Until road_car1 related_conflict_car2),(WeakUntil road_car1 related_conflict_car2),1,1,0
Visit road_car1 or related_conflict_car2,(Or road_car1 related_conflict_car2),(Or road_car1 related_conflict_car2),1,1,1
Either road_car1 or related_conflict_car2 must be reached,(Or road_car1 related_conflict_car2),(Or road_car1 related_conflict_car2),1,1,1
At least one of road_car1 or related_conflict_car2 must occur,(Or road_car1 related_conflict_car2),(Or road_car1 related_conflict_car2),1,1,1
Visit road_car1 and related_conflict_car2,(And road_car1 related_conflict_car2),(And road_car1 related_conflict_car2),1,1,1
Both road_car1 and related_conflict_car2 must be reached,(And road_car1 related_conflict_car2),(And road_car1 related_conflict_car2),1,1,1
You must eventually visit both road_car1 and related_conflict_car2,(And road_car1 related_conflict_car2),ERROR,1,0,0
"Stay in road_car1 unless related_conflict_car2 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 related_conflict_car2),(WeakUntil road_car1 related_conflict_car2),1,1,1
"road_car1 must hold until related_conflict_car2, or forever if related_conflict_car2 never occurs",(WeakUntil road_car1 related_conflict_car2),(WeakUntil road_car1 related_conflict_car2),1,1,1
"Continue in road_car1 until related_conflict_car2 happens, or stay in road_car1 always if related_conflict_car2 never does",(WeakUntil road_car1 related_conflict_car2),(WeakUntil road_car1 related_conflict_car2),1,1,1
Visit road_car1 before conflict_car3,(Precedence road_car1 conflict_car3),(Precedence road_car1 conflict_car3),1,1,1
conflict_car3 can only occur after road_car1,(Precedence road_car1 conflict_car3),(Precedence road_car1 conflict_car3),1,1,1
"You must reach road_car1 first, then conflict_car3",(Precedence road_car1 conflict_car3),(Precedence road_car1 conflict_car3),1,1,1
conflict_car3 only after road_car1,(Response road_car1 conflict_car3),(Response road_car1 conflict_car3),1,1,1
"After visiting road_car1, eventually reach conflict_car3",(Response road_car1 conflict_car3),(Response road_car1 conflict_car3),1,1,1
"If road_car1 happens, conflict_car3 must follow",(Response road_car1 conflict_car3),(Response road_car1 conflict_car3),1,1,1
"If you visit road_car1, then you must also reach conflict_car3",(RespondedExistence road_car1 conflict_car3),(RespondedExistence road_car1 conflict_car3),1,1,1
Visiting road_car1 implies eventually visiting conflict_car3,(RespondedExistence road_car1 conflict_car3),(Response road_car1 conflict_car3),1,1,0
"Whenever road_car1 happens, conflict_car3 must also occur",(RespondedExistence road_car1 conflict_car3),(RespondedExistence road_car1 conflict_car3),1,1,1
Stay in road_car1 until reaching conflict_car3,(Until road_car1 conflict_car3),(Until road_car1 conflict_car3),1,1,1
road_car1 must hold true until conflict_car3 occurs,(Until road_car1 conflict_car3),(Until road_car1 conflict_car3),1,1,1
Remain in road_car1 and stop only when conflict_car3 happens,(Until road_car1 conflict_car3),(WeakUntil road_car1 conflict_car3),1,1,0
Visit road_car1 or conflict_car3,(Or road_car1 conflict_car3),(Or road_car1 conflict_car3),1,1,1
Either road_car1 or conflict_car3 must be reached,(Or road_car1 conflict_car3),(Or road_car1 conflict_car3),1,1,1
At least one of road_car1 or conflict_car3 must occur,(Or road_car1 conflict_car3),(Or road_car1 conflict_car3),1,1,1
Visit road_car1 and conflict_car3,(And road_car1 conflict_car3),(And road_car1 conflict_car3),1,1,1
Both road_car1 and conflict_car3 must be reached,(And road_car1 conflict_car3),(And road_car1 conflict_car3),1,1,1
You must eventually visit both road_car1 and conflict_car3,(And road_car1 conflict_car3),ERROR,1,0,0
"Stay in road_car1 unless conflict_car3 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 conflict_car3),(WeakUntil road_car1 conflict_car3),1,1,1
"road_car1 must hold until conflict_car3, or forever if conflict_car3 never occurs",(WeakUntil road_car1 conflict_car3),(WeakUntil road_car1 conflict_car3),1,1,1
"Continue in road_car1 until conflict_car3 happens, or stay in road_car1 always if conflict_car3 never does",(WeakUntil road_car1 conflict_car3),(WeakUntil road_car1 conflict_car3),1,1,1
Visit road_car1 before road_car3,(Precedence road_car1 road_car3),(Precedence road_car1 road_car3),1,1,1
road_car3 can only occur after road_car1,(Precedence road_car1 road_car3),(Precedence road_car1 road_car3),1,1,1
"You must reach road_car1 first, then road_car3",(Precedence road_car1 road_car3),(Precedence road_car1 road_car3),1,1,1
road_car3 only after road_car1,(Response road_car1 road_car3),(Precedence road_car1 road_car3),1,1,0
"After visiting road_car1, eventually reach road_car3",(Response road_car1 road_car3),(Response road_car1 road_car3),1,1,1
"If road_car1 happens, road_car3 must follow",(Response road_car1 road_car3),(Response road_car1 road_car3),1,1,1
"If you visit road_car1, then you must also reach road_car3",(RespondedExistence road_car1 road_car3),(RespondedExistence road_car1 road_car3),1,1,1
Visiting road_car1 implies eventually visiting road_car3,(RespondedExistence road_car1 road_car3),(Response road_car1 road_car3),1,1,0
"Whenever road_car1 happens, road_car3 must also occur",(RespondedExistence road_car1 road_car3),(RespondedExistence road_car1 road_car3),1,1,1
Stay in road_car1 until reaching road_car3,(Until road_car1 road_car3),(Until road_car1 road_car3),1,1,1
road_car1 must hold true until road_car3 occurs,(Until road_car1 road_car3),(Until road_car1 road_car3),1,1,1
Remain in road_car1 and stop only when road_car3 happens,(Until road_car1 road_car3),(Until road_car1 road_car3),1,1,1
Visit road_car1 or road_car3,(Or road_car1 road_car3),(Or road_car1 road_car3),1,1,1
Either road_car1 or road_car3 must be reached,(Or road_car1 road_car3),(Or road_car1 road_car3),1,1,1
At least one of road_car1 or road_car3 must occur,(Or road_car1 road_car3),(Or road_car1 road_car3),1,1,1
Visit road_car1 and road_car3,(And road_car1 road_car3),(And road_car1 road_car3),1,1,1
Both road_car1 and road_car3 must be reached,(And road_car1 road_car3),(And road_car1 road_car3),1,1,1
You must eventually visit both road_car1 and road_car3,(And road_car1 road_car3),ERROR,1,0,0
"Stay in road_car1 unless road_car3 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 road_car3),(WeakUntil road_car1 road_car3),1,1,1
"road_car1 must hold until road_car3, or forever if road_car3 never occurs",(WeakUntil road_car1 road_car3),(WeakUntil road_car1 road_car3),1,1,1
"Continue in road_car1 until road_car3 happens, or stay in road_car1 always if road_car3 never does",(WeakUntil road_car1 road_car3),(WeakUntil road_car1 road_car3),1,1,1
Visit road_car1 before related_conflict_car3,(Precedence road_car1 related_conflict_car3),(Precedence road_car1 related_conflict_car3),1,1,1
related_conflict_car3 can only occur after road_car1,(Precedence road_car1 related_conflict_car3),(Precedence road_car1 related_conflict_car3),1,1,1
"You must reach road_car1 first, then related_conflict_car3",(Precedence road_car1 related_conflict_car3),(Precedence road_car1 related_conflict_car3),1,1,1
related_conflict_car3 only after road_car1,(Response road_car1 related_conflict_car3),(Response road_car1 related_conflict_car3),1,1,1
"After visiting road_car1, eventually reach related_conflict_car3",(Response road_car1 related_conflict_car3),(Response road_car1 related_conflict_car3),1,1,1
"If road_car1 happens, related_conflict_car3 must follow",(Response road_car1 related_conflict_car3),(Response road_car1 related_conflict_car3),1,1,1
"If you visit road_car1, then you must also reach related_conflict_car3",(RespondedExistence road_car1 related_conflict_car3),(RespondedExistence road_car1 related_conflict_car3),1,1,1
Visiting road_car1 implies eventually visiting related_conflict_car3,(RespondedExistence road_car1 related_conflict_car3),(Response road_car1 related_conflict_car3),1,1,0
"Whenever road_car1 happens, related_conflict_car3 must also occur",(RespondedExistence road_car1 related_conflict_car3),(RespondedExistence road_car1 related_conflict_car3),1,1,1
Stay in road_car1 until reaching related_conflict_car3,(Until road_car1 related_conflict_car3),(Until road_car1 related_conflict_car3),1,1,1
road_car1 must hold true until related_conflict_car3 occurs,(Until road_car1 related_conflict_car3),(Until road_car1 related_conflict_car3),1,1,1
Remain in road_car1 and stop only when related_conflict_car3 happens,(Until road_car1 related_conflict_car3),(WeakUntil road_car1 related_conflict_car3),1,1,0
Visit road_car1 or related_conflict_car3,(Or road_car1 related_conflict_car3),(Or road_car1 related_conflict_car3),1,1,1
Either road_car1 or related_conflict_car3 must be reached,(Or road_car1 related_conflict_car3),(Or road_car1 related_conflict_car3),1,1,1
At least one of road_car1 or related_conflict_car3 must occur,(Or road_car1 related_conflict_car3),(Or road_car1 related_conflict_car3),1,1,1
Visit road_car1 and related_conflict_car3,(And road_car1 related_conflict_car3),(And road_car1 related_conflict_car3),1,1,1
Both road_car1 and related_conflict_car3 must be reached,(And road_car1 related_conflict_car3),(And road_car1 related_conflict_car3),1,1,1
You must eventually visit both road_car1 and related_conflict_car3,(And road_car1 related_conflict_car3),ERROR,1,0,0
"Stay in road_car1 unless related_conflict_car3 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 related_conflict_car3),(WeakUntil road_car1 related_conflict_car3),1,1,1
"road_car1 must hold until related_conflict_car3, or forever if related_conflict_car3 never occurs",(WeakUntil road_car1 related_conflict_car3),(WeakUntil road_car1 related_conflict_car3),1,1,1
"Continue in road_car1 until related_conflict_car3 happens, or stay in road_car1 always if related_conflict_car3 never does",(WeakUntil road_car1 related_conflict_car3),(WeakUntil road_car1 related_conflict_car3),1,1,1
Visit road_car1 before conflict_car4,(Precedence road_car1 conflict_car4),(Precedence road_car1 conflict_car4),1,1,1
conflict_car4 can only occur after road_car1,(Precedence road_car1 conflict_car4),(Precedence road_car1 conflict_car4),1,1,1
"You must reach road_car1 first, then conflict_car4",(Precedence road_car1 conflict_car4),(Precedence road_car1 conflict_car4),1,1,1
conflict_car4 only after road_car1,(Response road_car1 conflict_car4),(Response road_car1 conflict_car4),1,1,1
"After visiting road_car1, eventually reach conflict_car4",(Response road_car1 conflict_car4),(Response road_car1 conflict_car4),1,1,1
"If road_car1 happens, conflict_car4 must follow",(Response road_car1 conflict_car4),(Response road_car1 conflict_car4),1,1,1
"If you visit road_car1, then you must also reach conflict_car4",(RespondedExistence road_car1 conflict_car4),(RespondedExistence road_car1 conflict_car4),1,1,1
Visiting road_car1 implies eventually visiting conflict_car4,(RespondedExistence road_car1 conflict_car4),(Response road_car1 conflict_car4),1,1,0
"Whenever road_car1 happens, conflict_car4 must also occur",(RespondedExistence road_car1 conflict_car4),(RespondedExistence road_car1 conflict_car4),1,1,1
Stay in road_car1 until reaching conflict_car4,(Until road_car1 conflict_car4),(Until road_car1 conflict_car4),1,1,1
road_car1 must hold true until conflict_car4 occurs,(Until road_car1 conflict_car4),(Until road_car1 conflict_car4),1,1,1
Remain in road_car1 and stop only when conflict_car4 happens,(Until road_car1 conflict_car4),(Until road_car1 conflict_car4),1,1,1
Visit road_car1 or conflict_car4,(Or road_car1 conflict_car4),(Or road_car1 conflict_car4),1,1,1
Either road_car1 or conflict_car4 must be reached,(Or road_car1 conflict_car4),(Or road_car1 conflict_car4),1,1,1
At least one of road_car1 or conflict_car4 must occur,(Or road_car1 conflict_car4),(Or road_car1 conflict_car4),1,1,1
Visit road_car1 and conflict_car4,(And road_car1 conflict_car4),(And road_car1 conflict_car4),1,1,1
Both road_car1 and conflict_car4 must be reached,(And road_car1 conflict_car4),(And road_car1 conflict_car4),1,1,1
You must eventually visit both road_car1 and conflict_car4,(And road_car1 conflict_car4),ERROR,1,0,0
"Stay in road_car1 unless conflict_car4 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 conflict_car4),(WeakUntil road_car1 conflict_car4),1,1,1
"road_car1 must hold until conflict_car4, or forever if conflict_car4 never occurs",(WeakUntil road_car1 conflict_car4),(WeakUntil road_car1 conflict_car4),1,1,1
"Continue in road_car1 until conflict_car4 happens, or stay in road_car1 always if conflict_car4 never does",(WeakUntil road_car1 conflict_car4),(WeakUntil road_car1 conflict_car4),1,1,1
Visit road_car1 before road_car4,(Precedence road_car1 road_car4),(Precedence road_car1 road_car4),1,1,1
road_car4 can only occur after road_car1,(Precedence road_car1 road_car4),(Precedence road_car1 road_car4),1,1,1
"You must reach road_car1 first, then road_car4",(Precedence road_car1 road_car4),(Precedence road_car1 road_car4),1,1,1
road_car4 only after road_car1,(Response road_car1 road_car4),(Response road_car1 road_car4),1,1,1
"After visiting road_car1, eventually reach road_car4",(Response road_car1 road_car4),(Response road_car1 road_car4),1,1,1
"If road_car1 happens, road_car4 must follow",(Response road_car1 road_car4),(Response road_car1 road_car4),1,1,1
"If you visit road_car1, then you must also reach road_car4",(RespondedExistence road_car1 road_car4),(RespondedExistence road_car1 road_car4),1,1,1
Visiting road_car1 implies eventually visiting road_car4,(RespondedExistence road_car1 road_car4),(Response road_car1 road_car4),1,1,0
"Whenever road_car1 happens, road_car4 must also occur",(RespondedExistence road_car1 road_car4),(RespondedExistence road_car1 road_car4),1,1,1
Stay in road_car1 until reaching road_car4,(Until road_car1 road_car4),(Until road_car1 road_car4),1,1,1
road_car1 must hold true until road_car4 occurs,(Until road_car1 road_car4),(Until road_car1 road_car4),1,1,1
Remain in road_car1 and stop only when road_car4 happens,(Until road_car1 road_car4),(Until road_car1 road_car4),1,1,1
Visit road_car1 or road_car4,(Or road_car1 road_car4),(Or road_car1 road_car4),1,1,1
Either road_car1 or road_car4 must be reached,(Or road_car1 road_car4),(Or road_car1 road_car4),1,1,1
At least one of road_car1 or road_car4 must occur,(Or road_car1 road_car4),(Or road_car1 road_car4),1,1,1
Visit road_car1 and road_car4,(And road_car1 road_car4),(And road_car1 road_car4),1,1,1
Both road_car1 and road_car4 must be reached,(And road_car1 road_car4),(And road_car1 road_car4),1,1,1
You must eventually visit both road_car1 and road_car4,(And road_car1 road_car4),ERROR,1,0,0
"Stay in road_car1 unless road_car4 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 road_car4),(WeakUntil road_car1 road_car4),1,1,1
"road_car1 must hold until road_car4, or forever if road_car4 never occurs",(WeakUntil road_car1 road_car4),(WeakUntil road_car1 road_car4),1,1,1
"Continue in road_car1 until road_car4 happens, or stay in road_car1 always if road_car4 never does",(WeakUntil road_car1 road_car4),(WeakUntil road_car1 road_car4),1,1,1
Visit road_car1 before related_conflict_car4,(Precedence road_car1 related_conflict_car4),(Precedence road_car1 related_conflict_car4),1,1,1
related_conflict_car4 can only occur after road_car1,(Precedence road_car1 related_conflict_car4),(Precedence road_car1 related_conflict_car4),1,1,1
"You must reach road_car1 first, then related_conflict_car4",(Precedence road_car1 related_conflict_car4),(Precedence road_car1 related_conflict_car4),1,1,1
related_conflict_car4 only after road_car1,(Response road_car1 related_conflict_car4),(Response road_car1 related_conflict_car4),1,1,1
"After visiting road_car1, eventually reach related_conflict_car4",(Response road_car1 related_conflict_car4),(Response road_car1 related_conflict_car4),1,1,1
"If road_car1 happens, related_conflict_car4 must follow",(Response road_car1 related_conflict_car4),(Response road_car1 related_conflict_car4),1,1,1
"If you visit road_car1, then you must also reach related_conflict_car4",(RespondedExistence road_car1 related_conflict_car4),(RespondedExistence road_car1 related_conflict_car4),1,1,1
Visiting road_car1 implies eventually visiting related_conflict_car4,(RespondedExistence road_car1 related_conflict_car4),(Response road_car1 related_conflict_car4),1,1,0
"Whenever road_car1 happens, related_conflict_car4 must also occur",(RespondedExistence road_car1 related_conflict_car4),(RespondedExistence road_car1 related_conflict_car4),1,1,1
Stay in road_car1 until reaching related_conflict_car4,(Until road_car1 related_conflict_car4),(Until road_car1 related_conflict_car4),1,1,1
road_car1 must hold true until related_conflict_car4 occurs,(Until road_car1 related_conflict_car4),(Until road_car1 related_conflict_car4),1,1,1
Remain in road_car1 and stop only when related_conflict_car4 happens,(Until road_car1 related_conflict_car4),(WeakUntil road_car1 related_conflict_car4),1,1,0
Visit road_car1 or related_conflict_car4,(Or road_car1 related_conflict_car4),(Or road_car1 related_conflict_car4),1,1,1
Either road_car1 or related_conflict_car4 must be reached,(Or road_car1 related_conflict_car4),(Or road_car1 related_conflict_car4),1,1,1
At least one of road_car1 or related_conflict_car4 must occur,(Or road_car1 related_conflict_car4),(Or road_car1 related_conflict_car4),1,1,1
Visit road_car1 and related_conflict_car4,(And road_car1 related_conflict_car4),(And road_car1 related_conflict_car4),1,1,1
Both road_car1 and related_conflict_car4 must be reached,(And road_car1 related_conflict_car4),(And road_car1 related_conflict_car4),1,1,1
You must eventually visit both road_car1 and related_conflict_car4,(And road_car1 related_conflict_car4),ERROR,1,0,0
"Stay in road_car1 unless related_conflict_car4 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 related_conflict_car4),(WeakUntil road_car1 related_conflict_car4),1,1,1
"road_car1 must hold until related_conflict_car4, or forever if related_conflict_car4 never occurs",(WeakUntil road_car1 related_conflict_car4),(WeakUntil road_car1 related_conflict_car4),1,1,1
"Continue in road_car1 until related_conflict_car4 happens, or stay in road_car1 always if related_conflict_car4 never does",(WeakUntil road_car1 related_conflict_car4),(WeakUntil road_car1 related_conflict_car4),1,1,1
Visit road_car1 before conflict_car5,(Precedence road_car1 conflict_car5),(Precedence road_car1 conflict_car5),1,1,1
conflict_car5 can only occur after road_car1,(Precedence road_car1 conflict_car5),(Precedence road_car1 conflict_car5),1,1,1
"You must reach road_car1 first, then conflict_car5",(Precedence road_car1 conflict_car5),(Precedence road_car1 conflict_car5),1,1,1
conflict_car5 only after road_car1,(Response road_car1 conflict_car5),(Response road_car1 conflict_car5),1,1,1
"After visiting road_car1, eventually reach conflict_car5",(Response road_car1 conflict_car5),(Response road_car1 conflict_car5),1,1,1
"If road_car1 happens, conflict_car5 must follow",(Response road_car1 conflict_car5),(Response road_car1 conflict_car5),1,1,1
"If you visit road_car1, then you must also reach conflict_car5",(RespondedExistence road_car1 conflict_car5),(RespondedExistence road_car1 conflict_car5),1,1,1
Visiting road_car1 implies eventually visiting conflict_car5,(RespondedExistence road_car1 conflict_car5),(Response road_car1 conflict_car5),1,1,0
"Whenever road_car1 happens, conflict_car5 must also occur",(RespondedExistence road_car1 conflict_car5),(RespondedExistence road_car1 conflict_car5),1,1,1
Stay in road_car1 until reaching conflict_car5,(Until road_car1 conflict_car5),(Until road_car1 conflict_car5),1,1,1
road_car1 must hold true until conflict_car5 occurs,(Until road_car1 conflict_car5),(Until road_car1 conflict_car5),1,1,1
Remain in road_car1 and stop only when conflict_car5 happens,(Until road_car1 conflict_car5),(Until road_car1 conflict_car5),1,1,1
Visit road_car1 or conflict_car5,(Or road_car1 conflict_car5),(Or road_car1 conflict_car5),1,1,1
Either road_car1 or conflict_car5 must be reached,(Or road_car1 conflict_car5),(Or road_car1 conflict_car5),1,1,1
At least one of road_car1 or conflict_car5 must occur,(Or road_car1 conflict_car5),(Or road_car1 conflict_car5),1,1,1
Visit road_car1 and conflict_car5,(And road_car1 conflict_car5),(And road_car1 conflict_car5),1,1,1
Both road_car1 and conflict_car5 must be reached,(And road_car1 conflict_car5),(And road_car1 conflict_car5),1,1,1
You must eventually visit both road_car1 and conflict_car5,(And road_car1 conflict_car5),ERROR,1,0,0
"Stay in road_car1 unless conflict_car5 happens, otherwise remain in road_car1 forever",(WeakUntil road_car1 conflict_car5),(WeakUntil road_car1 conflict_car5),1,1,1
"road_car1 must hold until conflict_car5, or forever if conflict_car5 never occurs",(WeakUntil road_car1 conflict_car5),(WeakUntil road_car1 conflict_car5),1,1,1
"Continue in road_car1 until conflict_car5 happens, or stay in road_car1 always if conflict_car5 never does",(WeakUntil road_car1 conflict_car5),(WeakUntil road_car1 conflict_car5),1,1,1
Visit road_car1 before road_car5,(Precedence road_car1 road_car5),(Precedence road_car1 road_car5),1,1,1
road_car5 can only occur after road_car1,(Precedence road_car1 road_car5),(Precedence road_car1 road_car5),1,1,1
"You must reach road_car1 first, then road_car5",(Precedence road_car1 road_car5),(Precedence road_car1 road_car5),1,1,1
